@relation Workflow-Workflow

@attribute 'Function Name' {'Adjust Image (Simple)','Background Correct (Calibrated)','CTC Single Cell Colocalization','CTC Single Cell Quantification','Crop Points','Export Multiple Table Files','Find Image Alignments','Find Maxima Segmentation','Image Calculator','Image Filters','Split Image','Stitch 2 Dims Using Alignments','Threshold Background Noise'}
@attribute 'Info Type' {__Inputs__,__Outputs__,__Parameters__,__SavingSelections__}
@attribute Key {0,1,2,3,'Artificial BG Level','BG Sub. Paraboloid','BG Sub. Presmooth Radius','BG Sub. Radius','Color Dim Name','Color Dim Value','Dim to Split','Est. BG sigma','Exclude Maximima on Edges?','Exclude Segments on Edges?','File 1','File 2','File 3','File 4','File 5','File Extension','Filter Type','Folder Path',Gamma,Height,'Horizontal Image Alignment','Horizontal Overlap \%','IF-DF Radius','ImCol Dim Name','ImRow Dim Name',Image,'Image A','Image B','Image Col Dim Name','Image Row Dim Name','Image Set','Image To Quantify','Image-DF Radius',Images,'Intensity Multiplier','Is EDM?','Keep Dim?','Mask Image','Math Operation',Maxima,'Maxima Color Dim Value','Median Filter Radius',Method,'New Max','New Min','Nominal Value to Add Back','Normalize Intensities Fit Bit Depth','Number of Sigma','Old Max','Old Min','Output Bit Depth','Output Bit-Depth','Output Maxima Only?','Particles Are White?','Pre-Despeckle Radius','Pre-Smoothing Radius',Radius,Scale,'Segmentation Color Dim Value','Segmented Image','Single Threshold per Color?',Threshold,Tolerance,'Vertical Image Alignment','Vertical Overlap \%',Width,'Window Offset'}
@attribute 'Workflow Index' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}
@attribute Metadata {Value}
@attribute Value string

@data
'CTC Single Cell Colocalization',__Inputs__,'Mask Image',14,Value,'Image,Cell Area,0'
'CTC Single Cell Colocalization',__Inputs__,Maxima,14,Value,'Roi,Maxima,0'
'CTC Single Cell Colocalization',__Inputs__,'Segmented Image',14,Value,'Image,Segmented Image,0'
'CTC Single Cell Colocalization',__Outputs__,0,14,Value,'File,Colocalization,0'
'CTC Single Cell Colocalization',__Parameters__,'Artificial BG Level',14,Value,0
'CTC Single Cell Colocalization',__Parameters__,'Color Dim Name',14,Value,Color
'CTC Single Cell Colocalization',__Parameters__,'Median Filter Radius',14,Value,0
'CTC Single Cell Colocalization',__Parameters__,Method,14,Value,Max-Norm
'CTC Single Cell Colocalization',__Parameters__,'Window Offset',14,Value,''
'CTC Single Cell Colocalization',__SavingSelections__,0,14,Value,true
'CTC Single Cell Quantification',__Inputs__,'Image To Quantify',11,Value,'Image,FINAL,0'
'CTC Single Cell Quantification',__Inputs__,'Image To Quantify',12,Value,'Image,FINAL,0'
'CTC Single Cell Quantification',__Inputs__,'Image To Quantify',13,Value,'Image,FINAL,0'
'CTC Single Cell Quantification',__Inputs__,'Mask Image',11,Value,'Image,THRESH Color 1 (E,D),0'
'CTC Single Cell Quantification',__Inputs__,'Mask Image',12,Value,'Image,THRESH Color 2 (E,D),0'
'CTC Single Cell Quantification',__Inputs__,'Mask Image',13,Value,'Image,Cell Area,0'
'CTC Single Cell Quantification',__Inputs__,Maxima,11,Value,'Roi,Maxima,0'
'CTC Single Cell Quantification',__Inputs__,Maxima,12,Value,'Roi,Maxima,0'
'CTC Single Cell Quantification',__Inputs__,Maxima,13,Value,'Roi,Maxima,0'
'CTC Single Cell Quantification',__Inputs__,'Segmented Image',11,Value,'Image,Segmented Image,0'
'CTC Single Cell Quantification',__Inputs__,'Segmented Image',12,Value,'Image,Segmented Image,0'
'CTC Single Cell Quantification',__Inputs__,'Segmented Image',13,Value,'Image,Segmented Image,0'
'CTC Single Cell Quantification',__Outputs__,0,11,Value,'File,DAPI,0'
'CTC Single Cell Quantification',__Outputs__,0,12,Value,'File,CK,0'
'CTC Single Cell Quantification',__Outputs__,0,13,Value,'File,DAPICK,0'
'CTC Single Cell Quantification',__SavingSelections__,0,11,Value,true
'CTC Single Cell Quantification',__SavingSelections__,0,12,Value,true
'CTC Single Cell Quantification',__SavingSelections__,0,13,Value,true
'Crop Points',__Inputs__,Image,17,Value,'Image,FINAL (Seg),0'
'Crop Points',__Inputs__,Maxima,17,Value,'Roi,Maxima,0'
'Crop Points',__Outputs__,0,17,Value,'Image,CELL CROPS,0'
'Crop Points',__Outputs__,1,17,Value,'Roi,CELL PTS,0'
'Crop Points',__Parameters__,Height,17,Value,75
'Crop Points',__Parameters__,Width,17,Value,75
'Crop Points',__SavingSelections__,0,17,Value,true
'Crop Points',__SavingSelections__,1,17,Value,true
'Export Multiple Table Files',__Inputs__,'File 1',18,Value,'File,DAPICK,0'
'Export Multiple Table Files',__Inputs__,'File 2',18,Value,'File,DAPI,0'
'Export Multiple Table Files',__Inputs__,'File 3',18,Value,'File,Colocalization,0'
'Export Multiple Table Files',__Inputs__,'File 4',18,Value,'File,CK,0'
'Export Multiple Table Files',__Inputs__,'File 5',18,Value,'File,Thresholds,0'
'Export Multiple Table Files',__Parameters__,'File Extension',18,Value,arff
'Export Multiple Table Files',__Parameters__,'Folder Path',18,Value,'C:\\Users\\bpcasav\\Documents\\CTC\\22Rv1'
'Find Image Alignments',__Inputs__,Images,1,Value,'Image,RAW (BG),0'
'Find Image Alignments',__Outputs__,0,1,Value,'Value,Hor. Alignment,0'
'Find Image Alignments',__Outputs__,1,1,Value,'Value,Ver. Alignment,0'
'Find Image Alignments',__Parameters__,'Color Dim Name',1,Value,Color
'Find Image Alignments',__Parameters__,'Color Dim Value',1,Value,1
'Find Image Alignments',__Parameters__,'Horizontal Overlap \%',1,Value,15
'Find Image Alignments',__Parameters__,'ImCol Dim Name',1,Value,ImCol
'Find Image Alignments',__Parameters__,'ImRow Dim Name',1,Value,ImRow
'Find Image Alignments',__Parameters__,'Vertical Overlap \%',1,Value,15
'Find Image Alignments',__SavingSelections__,0,1,Value,true
'Find Image Alignments',__SavingSelections__,1,1,Value,true
'Find Maxima Segmentation',__Inputs__,Image,3,Value,'Image,FINAL,0'
'Find Maxima Segmentation',__Outputs__,0,3,Value,'Roi,Maxima,0'
'Find Maxima Segmentation',__Outputs__,1,3,Value,'File,XY List,0'
'Find Maxima Segmentation',__Outputs__,2,3,Value,'File,Counts,0'
'Find Maxima Segmentation',__Outputs__,3,3,Value,'Image,Segmented Image,0'
'Find Maxima Segmentation',__Parameters__,'Color Dim Name',3,Value,Color
'Find Maxima Segmentation',__Parameters__,'Exclude Maximima on Edges?',3,Value,true
'Find Maxima Segmentation',__Parameters__,'Exclude Segments on Edges?',3,Value,true
'Find Maxima Segmentation',__Parameters__,'Is EDM?',3,Value,false
'Find Maxima Segmentation',__Parameters__,'Maxima Color Dim Value',3,Value,1
'Find Maxima Segmentation',__Parameters__,'Output Maxima Only?',3,Value,false
'Find Maxima Segmentation',__Parameters__,'Particles Are White?',3,Value,true
'Find Maxima Segmentation',__Parameters__,'Pre-Despeckle Radius',3,Value,1.7
'Find Maxima Segmentation',__Parameters__,'Pre-Smoothing Radius',3,Value,4
'Find Maxima Segmentation',__Parameters__,'Segmentation Color Dim Value',3,Value,1
'Find Maxima Segmentation',__Parameters__,Threshold,3,Value,500
'Find Maxima Segmentation',__Parameters__,Tolerance,3,Value,25
'Find Maxima Segmentation',__SavingSelections__,0,3,Value,true
'Find Maxima Segmentation',__SavingSelections__,1,3,Value,true
'Find Maxima Segmentation',__SavingSelections__,2,3,Value,true
'Find Maxima Segmentation',__SavingSelections__,3,3,Value,true
'Image Calculator',__Inputs__,'Image A',10,Value,'Image,THRESH Color 1 (E,D),0'
'Image Calculator',__Inputs__,'Image A',16,Value,'Image,FINAL,0'
'Image Calculator',__Inputs__,'Image B',10,Value,'Image,THRESH Color 2 (E,D),0'
'Image Calculator',__Inputs__,'Image B',16,Value,'Image,Segmented Image (0-1),0'
'Image Calculator',__Outputs__,0,10,Value,'Image,Cell Area,0'
'Image Calculator',__Outputs__,0,16,Value,'Image,FINAL (Seg),0'
'Image Calculator',__Parameters__,'Math Operation',10,Value,OR
'Image Calculator',__Parameters__,'Math Operation',16,Value,A*B
'Image Calculator',__Parameters__,'Output Bit-Depth',10,Value,8
'Image Calculator',__Parameters__,'Output Bit-Depth',16,Value,16
'Image Calculator',__SavingSelections__,0,10,Value,true
'Image Calculator',__SavingSelections__,0,16,Value,true
'Image Filters',__Inputs__,Image,6,Value,'Image,THRESH Color 1,0'
'Image Filters',__Inputs__,Image,7,Value,'Image,THRESH Color 1 (E),0'
'Image Filters',__Inputs__,Image,8,Value,'Image,THRESH Color 2,0'
'Image Filters',__Inputs__,Image,9,Value,'Image,THRESH Color 2 (E),0'
'Image Filters',__Outputs__,0,6,Value,'Image,THRESH Color 1 (E),0'
'Image Filters',__Outputs__,0,7,Value,'Image,THRESH Color 1 (E,D),0'
'Image Filters',__Outputs__,0,8,Value,'Image,THRESH Color 2 (E),0'
'Image Filters',__Outputs__,0,9,Value,'Image,THRESH Color 2 (E,D),0'
'Image Filters',__Parameters__,'Filter Type',6,Value,min
'Image Filters',__Parameters__,'Filter Type',7,Value,max
'Image Filters',__Parameters__,'Filter Type',8,Value,min
'Image Filters',__Parameters__,'Filter Type',9,Value,max
'Image Filters',__Parameters__,'Output Bit-Depth',6,Value,8
'Image Filters',__Parameters__,'Output Bit-Depth',7,Value,8
'Image Filters',__Parameters__,'Output Bit-Depth',8,Value,8
'Image Filters',__Parameters__,'Output Bit-Depth',9,Value,8
'Image Filters',__Parameters__,Radius,6,Value,3
'Image Filters',__Parameters__,Radius,7,Value,3
'Image Filters',__Parameters__,Radius,8,Value,3
'Image Filters',__Parameters__,Radius,9,Value,3
'Image Filters',__SavingSelections__,0,6,Value,true
'Image Filters',__SavingSelections__,0,7,Value,true
'Image Filters',__SavingSelections__,0,8,Value,true
'Image Filters',__SavingSelections__,0,9,Value,true
'Split Image',__Inputs__,Image,5,Value,'Image,THRESH,0'
'Split Image',__Parameters__,'Dim to Split',5,Value,Color
'Split Image',__Parameters__,'Keep Dim?',5,Value,false
'Stitch 2 Dims Using Alignments',__Inputs__,'Horizontal Image Alignment',2,Value,'Value,Hor. Alignment,0'
'Stitch 2 Dims Using Alignments',__Inputs__,'Image Set',2,Value,'Image,RAW (BG),0'
'Stitch 2 Dims Using Alignments',__Inputs__,'Vertical Image Alignment',2,Value,'Value,Ver. Alignment,0'
'Stitch 2 Dims Using Alignments',__Outputs__,0,2,Value,'Image,FINAL,0'
'Stitch 2 Dims Using Alignments',__Parameters__,'Image Col Dim Name',2,Value,ImCol
'Stitch 2 Dims Using Alignments',__Parameters__,'Image Row Dim Name',2,Value,ImRow
'Stitch 2 Dims Using Alignments',__Parameters__,'Intensity Multiplier',2,Value,1
'Stitch 2 Dims Using Alignments',__Parameters__,'Normalize Intensities Fit Bit Depth',2,Value,false
'Stitch 2 Dims Using Alignments',__Parameters__,'Output Bit Depth',2,Value,16
'Stitch 2 Dims Using Alignments',__Parameters__,Scale,2,Value,1.0
'Stitch 2 Dims Using Alignments',__SavingSelections__,0,2,Value,true
'Threshold Background Noise',__Inputs__,Image,4,Value,'Image,FINAL,0'
'Threshold Background Noise',__Outputs__,0,4,Value,'Image,THRESH,0'
'Threshold Background Noise',__Outputs__,1,4,Value,'Image,Thresholds,0'
'Threshold Background Noise',__Outputs__,2,4,Value,'Image,Thresholds,0'
'Threshold Background Noise',__Parameters__,'Color Dim Name',4,Value,Color
'Threshold Background Noise',__Parameters__,'Number of Sigma',4,Value,4
'Threshold Background Noise',__Parameters__,'Single Threshold per Color?',4,Value,false
'Threshold Background Noise',__SavingSelections__,0,4,Value,true
'Threshold Background Noise',__SavingSelections__,1,4,Value,true
'Threshold Background Noise',__SavingSelections__,2,4,Value,true
